mechanismKey,mechanism,baseScenarioKey,variantScenarioKey,caseKey,caseName,caseWeight,deltaDirectional,deltaLegalStability,deltaPrecedentStability,deltaStatutoryStability,deltaInterbranchCompliance,deltaRightsProtection,deltaPartisanAlignment,deltaShadowDocketAbuse,deltaLegitimacy,deltaReversalRate,deltaConstitutionalConflict,deltaDemocraticResponsiveness,deltaAdministrativeCost,deltaLowerCourtCompliance,deltaLowerCourtResistanceRisk,deltaEnforcementCapacity,deltaGovernmentNoncomplianceRate,deltaEmergencyOpportunism,deltaEmergencyDownstreamEffect,deltaPrecedentDurability,deltaJusticeReplacementRate,deltaOverrideAttemptRate,deltaOverrideRate
appointment-screening,Appointment screening,current-us-like,nonpartisan-commission,baseline,Baseline,1.000,0.013,0.006,0.010,-0.004,0.014,0.001,-0.012,-0.155,0.121,0.008,-0.026,0.017,0.058,0.020,-0.009,0.009,-0.018,-0.145,-0.051,0.039,0.032,0.000,0.000
appointment-screening,Appointment screening,current-us-like,nonpartisan-commission,extreme-appointment-capture,Extreme Appointment Capture,1.000,0.012,0.005,0.004,-0.005,0.016,0.002,-0.005,-0.160,0.121,0.017,-0.029,0.015,0.057,0.020,-0.009,0.008,-0.028,-0.143,-0.051,0.034,0.039,0.000,0.000
appointment-screening,Appointment screening,current-us-like,nonpartisan-commission,extreme-emergency-pressure,Extreme Emergency Pressure,1.000,0.018,0.027,0.038,0.006,0.035,-0.034,-0.025,-0.277,0.197,0.056,-0.064,0.018,0.072,0.036,-0.016,0.012,-0.059,-0.168,-0.108,0.089,0.052,0.000,0.000
appointment-screening,Appointment screening,current-us-like,nonpartisan-commission,extreme-rights-risk,Extreme Rights Risk,1.000,-0.000,-0.013,-0.041,-0.012,0.014,-0.018,-0.016,-0.228,0.160,0.062,-0.037,0.037,0.067,0.012,-0.009,0.009,-0.015,-0.158,-0.088,0.003,0.046,0.000,0.000
appointment-screening,Appointment screening,current-us-like,nonpartisan-commission,weak-mandate-legislation,Weak-Mandate Legislation,1.000,0.006,-0.004,-0.019,-0.008,0.015,-0.010,-0.014,-0.192,0.135,0.047,-0.038,0.032,0.060,0.015,-0.008,0.008,-0.017,-0.153,-0.069,0.018,0.039,0.000,0.000
appointment-screening,Appointment screening,current-us-like,nonpartisan-commission,appointment-timing-manipulation,Appointment Timing Manipulation,1.000,0.013,0.008,0.014,-0.004,0.013,-0.001,-0.005,-0.155,0.121,0.010,-0.026,0.015,0.056,0.019,-0.008,0.009,-0.014,-0.143,-0.049,0.044,0.045,0.000,0.000
appointment-screening,Appointment screening,current-us-like,nonpartisan-commission,emergency-application-flood,Emergency Application Flood,1.000,0.008,0.018,0.024,0.005,0.024,-0.046,-0.023,-0.297,0.218,0.082,-0.050,0.032,0.081,0.028,-0.014,0.013,-0.042,-0.171,-0.119,0.079,0.048,0.000,0.000
appointment-screening,Appointment screening,current-us-like,nonpartisan-commission,override-evasion-loop,Override Evasion Loop,1.000,0.000,-0.016,-0.040,-0.016,0.008,-0.015,-0.009,-0.227,0.168,0.068,-0.022,0.028,0.070,0.011,-0.009,0.011,-0.014,-0.159,-0.085,0.005,0.040,0.000,0.000
term-regularization,Term regularization,current-us-like,term-limited-balanced,baseline,Baseline,1.000,0.014,0.006,0.011,-0.003,0.012,0.006,-0.000,-0.145,0.110,0.010,-0.022,0.016,0.038,0.017,-0.009,0.008,-0.023,-0.142,-0.046,0.038,0.051,0.000,0.000
term-regularization,Term regularization,current-us-like,term-limited-balanced,extreme-appointment-capture,Extreme Appointment Capture,1.000,0.014,0.006,0.005,-0.003,0.014,0.003,-0.002,-0.156,0.116,0.010,-0.029,0.012,0.036,0.020,-0.009,0.009,-0.020,-0.145,-0.050,0.035,0.030,0.000,0.000
